Date,MO,BYD,AER
3/3/2015 16:00,56.46,14.32,44.44
3/4/2015 16:00,55.79,14,44.78
3/5/2015 16:00,55.5,13.96,44.99
3/6/2015 16:00,53.37,13.92,43.96
3/9/2015 16:00,53.83,14.5,43.79
3/10/2015 16:00,53.2,14.39,43.06
3/11/2015 16:00,52.22,14.19,43.18
3/12/2015 16:00,52.01,14.44,43.46
3/13/2015 16:00,51.39,14.41,43.61
3/16/2015 16:00,52.09,14.41,43.78
3/17/2015 16:00,51.62,14.49,43.45
3/18/2015 16:00,51.34,14.5,44.49
3/19/2015 16:00,51.27,14.36,43.97
3/20/2015 16:00,51.42,14.24,44.61
3/23/2015 16:00,51.62,14.4,44.41
3/24/2015 16:00,51.11,14.35,44.24
3/25/2015 16:00,50.15,13.74,43.86
3/26/2015 16:00,50,13.83,43.82
3/27/2015 16:00,50.34,13.94,43.97
3/30/2015 16:00,50.53,14.17,44.59
3/31/2015 16:00,50.02,14.2,43.65
4/1/2015 16:00,50.3,13.87,44.49
4/2/2015 16:00,51.19,14.15,44.76
4/6/2015 16:00,51.49,14.31,44.53
4/7/2015 16:00,51.7,13.71,45.05
4/8/2015 16:00,51.62,13.59,45.43
4/9/2015 16:00,51.86,13.72,45.86
4/10/2015 16:00,52.51,13.8,46.75
4/13/2015 16:00,51.77,13.65,46.47
4/14/2015 16:00,52.12,13.51,46.4
4/15/2015 16:00,51.61,13.53,46.16
4/16/2015 16:00,52.05,13.46,46.08
4/17/2015 16:00,51.75,13.17,45.96
4/20/2015 16:00,52.63,13.23,46.54
4/21/2015 16:00,52.1,13.01,46.25
4/22/2015 16:00,52.12,13.17,46.44
4/23/2015 16:00,52.35,13.4,46.61
4/24/2015 16:00,52.07,13.35,46.86
4/27/2015 16:00,51.4,13.12,46.8
4/28/2015 16:00,51.71,13.23,46.91
4/29/2015 16:00,50.2,13.14,46.75
4/30/2015 16:00,50.05,13.2,46.68
5/1/2015 16:00,50.66,13.54,49.04
5/4/2015 16:00,50.68,13.72,49.18
5/5/2015 16:00,50.35,13.48,48.49
5/6/2015 16:00,50.68,13.53,48.21
5/7/2015 16:00,51.24,13.78,48.35
5/8/2015 16:00,52.17,13.81,49.07
5/11/2015 16:00,51.34,13.71,48.18
5/12/2015 16:00,51.15,13.81,48.48
5/13/2015 16:00,51,13.53,49
5/14/2015 16:00,52.6,13.55,48.99
5/15/2015 16:00,52.82,13.68,48.96
5/18/2015 16:00,51.95,13.83,48.8
5/19/2015 16:00,51.78,13.59,48.22
5/20/2015 16:00,51.8,13.74,47.96
5/21/2015 16:00,51.64,13.85,48.21
5/22/2015 16:00,51.23,13.92,48.07
5/26/2015 16:00,51.28,13.95,47.8
5/27/2015 16:00,51.83,14.32,48.62
5/28/2015 16:00,51.62,14.35,48.88
5/29/2015 16:00,51.2,14.31,48.24
6/1/2015 16:00,51.2,14.79,48.24
6/2/2015 16:00,50.63,14.82,49.93
6/3/2015 16:00,50.35,14.72,50.34
6/4/2015 16:00,49.88,14.61,48.5
6/5/2015 16:00,48.21,14.9,48.53
6/8/2015 16:00,48.32,14.63,47.95
6/9/2015 16:00,48.56,14.62,48.1
6/10/2015 16:00,49.22,14.96,48.35
6/11/2015 16:00,48.33,15.28,47.69
6/12/2015 16:00,48.04,15.16,47.3
6/15/2015 16:00,47.54,15.31,46.56
6/16/2015 16:00,48.02,15.11,46.61
6/17/2015 16:00,48.56,15.13,46.86
